Company,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector,Industry,City,State
PolyOne,"$3,452 ",($57.70),"$2,705 ","6,400",Chemicals,Chemicals,Avon Lake,OH
FMC,"$3,442 ",$535.80 ,"$9,206 ","7,000",Chemicals,Chemicals,Philadelphia,PA
Edwards Lifesciences,"$3,435 ",$583.60 ,"$5,696 ","12,200",Health Care,Medical Products and Equipment,Irvine,CA
Microchip Technology,"$3,426 ",$164.60 ,"$7,687 ","12,656",Technology,Semiconductors and Other Electronic Components,Chandler,AZ
Amerco,"$3,422 ",$398.40 ,"$9,406 ","20,376",Transportation,"Trucking, Truck Leasing",Reno,NV
Mercury General,"$3,416 ",$144.90 ,"$5,101 ","4,300",Financials,Insurance: Property and Casualty (Stock),Los Angeles,CA
American National Insurance,"$3,411 ",$493.70 ,"$26,387 ","4,621",Financials,"Insurance: Life, Health (stock)",Galveston,TX
Carters,"$3,400 ",$302.80 ,"$2,068 ","20,900",Apparel,Apparel,Atlanta,GA
International Flavors & Fragrances,"$3,399 ",$295.70 ,"$4,599 ","7,300",Chemicals,Chemicals,New York,NY
Aarons,"$3,384 ",$292.50 ,"$2,692 ","11,900",Retailing,Specialty Retailers: Other,Atlanta,GA
Alliant Energy,"$3,382 ",$457.30 ,"$14,188 ","3,989",Energy,Utilities: Gas and Electric,Madison,WI
EQT,"$3,378 ","$1,508.50 ","$29,523 ","2,067",Energy,Energy,Pittsburgh,PA
Monster Beverage,"$3,369 ",$820.70 ,"$4,791 ","2,589","Food, Beverages &  Tobacco",Beverages,Corona,CA
BMC Stock Holdings,"$3,366 ",$57.40 ,"$1,473 ","9,100",Wholesalers,Wholesalers: Diversified,Atlanta,GA
Ryerson Holding,"$3,365 ",$17.10 ,"$1,712 ","3,600",Materials,Metals,Chicago,IL
Equifax,"$3,362 ",$587.30 ,"$7,233 ","10,300",Business Services,Financial Data Services,Atlanta,GA
Regal Beloit,"$3,360 ",$213.00 ,"$4,388 ","23,600",Industrials,"Electronics, Electrical Equip.",Beloit,WI
Old Dominion Freight Line,"$3,358 ",$463.80 ,"$3,068 ","19,183",Transportation,"Trucking, Truck Leasing",Thomasville,NC
American Water Works,"$3,357 ",$426.00 ,"$19,482 ","6,900",Energy,Miscellaneous,Voorhees Township,NJ
BGC Partners,"$3,353 ",$51.50 ,"$5,457 ","9,238",Financials,Securities,New York,NY
Brinks,"$3,347 ",$16.70 ,"$3,060 ","62,150",Business Services,Diversified Outsourcing Services,Richmond,VA
Meritor,"$3,347 ",$16.70 ,"$3,060 ","62,150",Business Services,Diversified Outsourcing Services,Richmond,VA
