Symbol,Company,Sector,PE_Ratio,CEO,Salary,Market Cap
VNO,Vornado Realty Trust,Real Estate,16.22,Steven Roth,11599270,12778779911
CL,Colgate-Palmolive Co.,Consumer Staples,24.02,Ian Cook,11551328,61616643498
ABC,AmerisourceBergen Corp.,Health Care,15.54,Steven Collis,11514115,20587704101
IT,"Gartner, Inc.",Information Technology,36.86,Eugene Hall,11502517,10828314389
NEM,Newmont Goldcorp Corp.,Materials,26.34,Gary Goldberg,11393771,19749449484
HD,"The Home Depot, Inc.",Consumer Discretionary,28.1,Craig Menear,11366662,223378633329
AKAM,"Akamai Technologies, Inc.",Information Technology,32.55,F. Leighton,11347676,10906904066
PPL,PPL Corp.,Utilities,12.83,William Spence,11338785,20839814845
IRM,"Iron Mountain, Inc.",Real Estate,15.42,William Meaney,11287272,9410249279
NBL,"Noble Energy, Inc.",Energy,105.96,David Stover,11213168,13177325251
WY,Weyerhaeuser Co.,Real Estate,34.29,Doyle Simons,11191321,26070297960
FITB,Fifth Third Bancorp,Financials,16.9,Greg Carmichael,11173652,22437653700
RJF,"Raymond James Financial, Inc.",Financials,16.94,Paul Reilly,11123643,13216271700
FE,FirstEnergy Corp.,Utilities,11.18,Charles Jones,11123128,13706075072
ILMN,"Illumina, Inc.",Health Care,52.25,Francis deSouza,11067566,32295200000
ADI,"Analog Devices, Inc.",Information Technology,17.67,Vincent Roche,11007691,31811578855
EQR,Equity Residential,Real Estate,17.6,David Neithercut,11004730,20925508143
DTE,DTE Energy Co.,Utilities,19.12,Gerard Anderson,10986809,17808073691
BLL,Ball Corp.,Materials,20.56,John Hayes,10941645,13767688518
TIF,Tiffany & Co.,Consumer Discretionary,27.0,Alessandro Bogliolo,10940139,12810515320
TSS,"Total System Services, Inc.",Information Technology,25.85,M. Woods,10854560,15694951118
WMB,"The Williams Cos., Inc.",Energy,48.41,Alan Armstrong,10691375,24802396470
DG,Dollar General Corp.,Consumer Discretionary,21.18,Todd Vasos,10602517,26580644874
LEG,"Leggett & Platt, Inc.",Consumer Discretionary,17.88,Karl Glassman,10567930,6034600480
MCO,Moody's Corp.,Financials,26.55,Raymond McDaniel,10556511,30189978000
MOS,The Mosaic Co.,Materials,23.66,James O'Rourke,10526054,9726962131
UAL,"United Continental Holdings, Inc.",Industrials,8.85,Oscar Munoz,10493832,19363059152
CAG,"Conagra Brands, Inc.",Consumer Staples,18.2,Sean Connolly,10473271,14379717835
GWW,"W.W. Grainger, Inc.",Industrials,22.57,Donald Macpherson,10455844,14639308205
PEG,"Public Service Enterprise Group, Inc.",Utilities,16.11,Ralph Izzo,10419291,24138050331
ETR,Entergy Corp.,Utilities,10.65,Leo Denault,10326456,13116894887
STZ,"Constellation Brands, Inc.",Consumer Staples,30.92,Robert Sands,10312778,41697453163
EW,Edwards Lifesciences Corp.,Health Care,32.57,Michael Mussallem,10278949,27447099863
VAR,"Varian Medical Systems, Inc.",Health Care,29.93,Dow Wilson,10276439,10692681720
PKG,Packaging Corporation of America,Materials,18.57,Mark Kowlzan,10265569,11051273948
ANSS,"ANSYS, Inc.",Information Technology,42.53,Ajei Gopal,10164184,13155919129
APH,Amphenol Corp.,Information Technology,25.9,R. Norwitt,10110360,26955335395
CMA,"Comerica, Inc.",Financials,18.89,Ralph Babb,10039842,16274969256
FMC,FMC Corp.,Materials,32.48,PIERRE BRONDEAU,9994552,11273961835
K,Kellogg Co.,Consumer Staples,16.5,Steven Cahillane,9989992,22182794875
JNPR,"Juniper Networks, Inc.",Information Technology,14.09,Rami Rahim,9984326,9267350000
ADS,Alliance Data Systems Corp.,Information Technology,13.02,Edward Heffernan,9978474,13632608582
DGX,"Quest Diagnostics, Inc.",Health Care,17.07,Stephen Rusckowski,9953287,13578300000
PCAR,"PACCAR, Inc.",Industrials,15.72,Ronald Armstrong,9929242,24152102921
UNM,Unum Group,Financials,11.51,Richard McKenney,9896861,11256432318
WEC,"WEC Energy Group, Inc.",Utilities,19.57,Gale Klappa,9862993,18890296993
PHM,"PulteGroup, Inc.",Consumer Discretionary,12.86,Ryan Marshall,9793261,8792572352
CTAS,Cintas Corp.,Industrials,32.75,Scott Farmer,9778369,16676145923
EIX,Edison International,Utilities,13.23,Pedro Pizarro,9777523,19447670886
ED,"Consolidated Edison, Inc.",Utilities,18.64,John McAvoy,9765858,23335777662
AES,The AES Corp.,Utilities,9.96,Andres Gluski,9759811,6920851212
XEC,Cimarex Energy Co.,Energy,26.37,Thomas Jorden,9727480,10089082025
ZBH,"Zimmer Biomet Holdings, Inc.",Health Care,14.32,Bryan Hanson,9710434,24454698119
CERN,Cerner Corp.,Health Care,27.09,Brent Shafer,9633001,21101697598
TSN,"Tyson Foods, Inc.",Consumer Staples,13.92,Thomas Hayes,9486887,26957526800
NKE,"NIKE, Inc.",Consumer Discretionary,24.9,Mark Parker,9467460,106776113744
BEN,"Franklin Resources, Inc.",Financials,12.67,Gregory Johnson,9450152,21759187973
CFG,"Citizens Financial Group, Inc. (Rhode Island)",Financials,16.04,Bruce Saun,9405933,22008050974
DLTR,"Dollar Tree, Inc.",Consumer Discretionary,26.66,Gary Philbin,9398842,25151198417
BK,The Bank of New York Mellon Corp.,Financials,14.76,Charles Scharf,9383885,56083904906
SWKS,"Skyworks Solutions, Inc.",Information Technology,16.45,Liam Griffin,9342113,18493080922
TSCO,Tractor Supply Co.,Consumer Discretionary,19.57,Gregory Sandfort,9329017,8459271203
SRE,Sempra Energy,Utilities,19.14,Jeffrey Martin,9324491,26163862235
INCY,Incyte Corp.,Health Care,-119.89,Herve Hoppenot,9314189,18220961259
PCG,PG&E Corp.,Utilities,8.75,Geisha Williams,9289842,20309412381
ROK,"Rockwell Automation, Inc.",Industrials,26.48,Blake Moret,9188851,24123216432
PSA,Public Storage,Real Estate,18.21,Ronald Havner,9182000,32258539942
WU,The Western Union Co.,Information Technology,10.17,Hikmet Ersek,9175300,8951609207
