Company,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector,Industry,City,State,revenue,employees
Pfizer,"$52,546 ","$21,308.00 ","$171,797 ","90,200",Health Care,Pharmaceuticals,New York,NY,52546.0,90200
HP,"$52,056 ","$2,526.00 ","$32,913 ","49,000",Technology,"Computers, Office Equipment",Palo Alto,CA,52056.0,49000
Lockheed Martin,"$51,048 ","$2,002.00 ","$46,521 ","100,000",Aerospace &  Defense,Aerospace and Defense,Bethesda,MD,51048.0,100000
AIG,"$49,520 ","($6,084.00)","$498,301 ","49,800",Financials,Insurance: Property and Casualty (Stock),New York,NY,49520.0,49800
Centene,"$48,572 ",$828.00 ,"$21,855 ","33,700",Health Care,Health Care: Insurance and Managed Care,St. Louis,MO,48572.0,33700
Cisco Systems,"$48,005 ","$9,609.00 ","$129,818 ","72,900",Technology,Network and Other Communications Equipment,San Jose,CA,48005.0,72900
HCA Healthcare,"$47,653 ","$2,216.00 ","$36,593 ",221491,Health Care,Health Care: Medical Facilities,Nashville,TN,47653.0,221491
Energy Transfer Equity,"$47,487 ",$954.00 ,"$86,246 ","29,486",Energy,Pipelines,Dallas,TX,47487.0,29486
Caterpillar,"$45,462 ",$754.00 ,"$76,962 ","98,400",Industrials,Construction and Farm Machinery,Deerfield,IL,45462.0,98400
Nationwide,"$43,940 ",$246.50 ,"$221,257 ","33,135",Financials,Insurance: Property and Casualty (Mutual),Columbus,OH,43940.0,33135
Morgan Stanley,"$43,642 ","$6,111.00 ","$851,733 ","57,633",Financials,Commercial Banks,New York,NY,43642.0,57633
Liberty Mutual Insurance Group,"$42,687 ",$17.00 ,"$142,502 ","50,000",Financials,Insurance: Property and Casualty (Stock),Boston,MA,42687.0,50000
New York Life Insurance,"$42,296 ","$1,866.90 ","$303,183 ","11,114",Financials,"Insurance: Life, Health (Mutual)",New York,NY,42296.0,11114
Goldman Sachs Group,"$42,254 ","$4,286.00 ","$916,776 ","36,600",Financials,Commercial Banks,New York,NY,42254.0,36600
American Airlines Group,"$42,207 ","$1,919.00 ","$51,396 ","126,600",Transportation,Airlines,Fort Worth,TX,42207.0,126600
