Company,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector,Industry,City,State,revenue,employees
Interpublic Group,"$7,882 ",$579.00 ,"$12,695 ","50,200",Business Services,"Advertising, marketing",New York,NY,7882.0,50200
Dover,"$7,830 ",$811.70 ,"$10,658 ","29,000",Industrials,Industrial Machinery,Downers Grove,IL,7830.0,29000
Zimmer Biomet Holdings,"$7,824 ","$1,813.80 ","$25,965 ","18,200",Health Care,Medical Products and Equipment,Warsaw,IN,7824.0,18200
Dean Foods,"$7,795 ",$61.60 ,"$2,504 ","16,000","Food, Beverages &  Tobacco",Food Consumer Products,Dallas,TX,7795.0,16000
Foot Locker,"$7,782 ",$284.00 ,"$3,961 ","32,175",Retailing,Specialty Retailers: Apparel,New York,NY,7782.0,32175
Eversource Energy,"$7,752 ",$988.00 ,"$36,220 ","8,084",Energy,Utilities: Gas and Electric,Springfield,MA,7752.0,8084
Alliance Data Systems,"$7,719 ",$788.70 ,"$30,685 ","20,000",Business Services,Financial Data Services,Plano,TX,7719.0,20000
Fifth Third Bancorp,"$7,713 ","$2,194.00 ","$142,193 ","18,125",Financials,Commercial Banks,Cincinnati,OH,7713.0,18125
Quest Diagnostics,"$7,709 ",$772.00 ,"$10,503 ","45,000",Health Care,Health Care: Pharmacy and Other Services,Secaucus,NJ,7709.0,45000
EMCOR Group,"$7,688 ",$227.20 ,"$3,966 ","32,000",Engineering &  Construction,"Engineering, Construction",Norwalk,CT,7688.0,32000
W.R. Berkley,"$7,685 ",$549.10 ,"$24,300 ","7,722",Financials,Insurance: Property and Casualty (Stock),Greenwich,CT,7685.0,7722
WESCO International,"$7,679 ",$163.50 ,"$4,736 ","9,100",Wholesalers,Wholesalers: Diversified,Pittsburgh,PA,7679.0,9100
Coty,"$7,650 ",($422.20),"$22,548 ","22,000",Household Products,Household and Personal Products,New York,NY,7650.0,22000
WEC Energy Group,"$7,649 ","$1,203.70 ","$31,591 ","8,129",Energy,Utilities: Gas and Electric,Milwaukee,WI,7649.0,8129
Masco,"$7,644 ",$533.00 ,"$5,488 ","26,000",Household Products,"Home Equipment, Furnishings",Livonia,MI,7644.0,26000
DXC Technology,"$7,607 ",($123.00),"$8,663 ","60,000",Technology,Information Technology Services,Tysons,VA,7607.0,60000
Auto-Owners Insurance,"$7,604 ",$645.70 ,"$23,694 ","5,227",Financials,Insurance: Property and Casualty (Mutual),Lansing,MI,7604.0,5227
Jones Financial (Edward Jones),"$7,597 ",$872.00 ,"$17,176 ",45000,Financials,Securities,Des Peres,MO,7597.0,45000
Liberty Media,"$7,594 ","$1,354.00 ","$41,996 ","4,393",Media,Entertainment,Englewood,CO,7594.0,4393
Erie Insurance Group,"$7,535 ",$857.50 ,"$20,670 ","5,260",Financials,Insurance: Property and Casualty (Mutual),Erie,PA,7535.0,5260
Hershey,"$7,515 ",$783.00 ,"$5,554 ","16,135","Food, Beverages &  Tobacco",Food Consumer Products,Hershey,PA,7515.0,16135
PPL,"$7,447 ","$1,128.00 ","$41,479 ","12,512",Energy,Utilities: Gas and Electric,Allentown,PA,7447.0,12512
Huntington Ingalls Industries,"$7,441 ",$479.00 ,"$6,374 ","38,000",Aerospace &  Defense,Aerospace and Defense,Newport News,VA,7441.0,38000
Mosaic,"$7,409 ",($107.20),"$18,633 ","8,500",Chemicals,Chemicals,Plymouth,MN,7409.0,8500
J.M. Smucker,"$7,392 ",$592.30 ,"$15,640 ","7,140","Food, Beverages &  Tobacco",Food Consumer Products,Orrville,OH,7392.0,7140
Delek US Holdings,"$7,350 ",$288.80 ,"$5,935 ","3,941",Energy,Petroleum Refining,Brentwood,TN,7350.0,3941
Newmont Mining,"$7,348 ",($98.00),"$20,563 ","12,569",Energy,"Mining, Crude-Oil Production",Greenwood Village,CO,7348.0,12569
Constellation Brands,"$7,332 ","$1,535.10 ","$18,602 ","8,700","Food, Beverages &  Tobacco",Beverages,Victor,NY,7332.0,8700
Ryder System,"$7,330 ",$790.60 ,"$11,452 ","36,100",Transportation,"Trucking, Truck Leasing",Miami,FL,7330.0,36100
National Oilwell Varco,"$7,304 ",($237.00),"$20,206 ","31,605",Energy,"Oil and Gas Equipment, Services",Houston,TX,7304.0,31605
Adobe Systems,"$7,302 ","$1,694.00 ","$14,536 ","17,973",Technology,Computer Software,San Jose,CA,7302.0,17973
LifePoint Health,"$7,263 ",$102.40 ,"$6,286 ","42,000",Health Care,Health Care: Medical Facilities,Brentwood,TN,7263.0,42000
Tractor Supply,"$7,256 ",$422.60 ,"$2,869 ","21,000",Retailing,Specialty Retailers: Other,Brentwood,TN,7256.0,21000
Thor Industries,"$7,247 ",$374.30 ,"$2,558 ","17,800",Motor Vehicles &  Parts,Motor Vehicles and Parts,Elkhart,IN,7247.0,17800
Dana,"$7,209 ",$111.00 ,"$5,644 ","30,100",Motor Vehicles &  Parts,Motor Vehicles and Parts,Maumee,OH,7209.0,30100
Weyerhaeuser,"$7,196 ",$582.00 ,"$18,059 ","9,300",Materials,Forest and Paper Products,Seattle,WA,7196.0,9300
J.B. Hunt Transport Services,"$7,190 ",$686.30 ,"$4,465 ","24,681",Transportation,"Trucking, Truck Leasing",Lowell,AR,7190.0,24681
Darden Restaurants,"$7,170 ",$479.10 ,"$5,504 ","178,729","Hotels, Restaurants &  Leisure",Food Services,Orlando,FL,7170.0,178729
Yum China Holdings,"$7,144 ",$403.00 ,"$4,263 ","450,000","Hotels, Restaurants &  Leisure",Food Services,Plano,TX,7144.0,450000
Blackstone Group,"$7,119 ","$1,470.80 ","$34,429 ","2,360",Financials,Diversified Financials,New York,NY,7119.0,2360
Berry Global Group,"$7,095 ",$340.00 ,"$8,476 ","23,000",Materials,"Packaging, Containers",Evansville,IN,7095.0,23000
Builders FirstSource,"$7,034 ",$38.80 ,"$3,006 ","15,000",Materials,"Building Materials, Glass",Dallas,TX,7034.0,15000
Activision Blizzard,"$7,017 ",$273.00 ,"$18,668 ","9,800",Technology,Entertainment,Santa Monica,CA,7017.0,9800
JetBlue Airways,"$7,015 ","$1,147.00 ","$9,781 ","17,424",Transportation,Airlines,,NY,7015.0,17424
Amphenol,"$7,011 ",$650.50 ,"$10,004 ","70,000",Technology,Network and Other Communications Equipment,Wallingford,CT,7011.0,70000
A-Mark Precious Metals,"$6,990 ",$7.10 ,$479 ,126,Materials,Miscellaneous,El Segundo,CA,6990.0,126
Spirit AeroSystems Holdings,"$6,983 ",$354.90 ,"$5,268 ","15,500",Aerospace &  Defense,Aerospace and Defense,Wichita,KS,6983.0,15500
R.R. Donnelley & Sons,"$6,940 ",($34.40),"$3,905 ","42,700",Media,"Publishing, Printing",Chicago,IL,6940.0,42700
Harris,"$6,939 ",$553.00 ,"$10,090 ","17,000",Aerospace &  Defense,Aerospace and Defense,Melbourne,FL,6939.0,17000
Expeditors Intl. of Washington,"$6,921 ",$489.30 ,"$3,117 ","16,500",Transportation,Transportation and Logistics,Seattle,WA,6921.0,16500
Discovery,"$6,873 ",($337.00),"$22,555 ","7,000",Media,Entertainment,Silver Spring,MD,6873.0,7000
Owens-Illinois,"$6,869 ",$180.00 ,"$9,756 ","26,500",Materials,"Packaging, Containers",Perrysburg,OH,6869.0,26500
Sanmina,"$6,869 ",$138.80 ,"$3,847 ","41,250",Technology,Semiconductors and Other Electronic Components,San Jose,CA,6869.0,41250
KeyCorp,"$6,868 ","$1,296.00 ","$137,698 ","18,415",Financials,Commercial Banks,Cleveland,OH,6868.0,18415
American Financial Group,"$6,865 ",$475.00 ,"$60,658 ","7,600",Financials,Insurance: Property and Casualty (Stock),Cincinnati,OH,6865.0,7600
Oshkosh,"$6,830 ",$285.60 ,"$5,099 ","14,000",Industrials,Construction and Farm Machinery,Oshkosh,WI,6830.0,14000
Rockwell Collins,"$6,822 ",$705.00 ,"$17,997 ","29,000",Aerospace &  Defense,Aerospace and Defense,Cedar Rapids,IA,6822.0,29000
Kindred Healthcare,"$6,768 ",($698.40),"$5,233 ","64,200",Health Care,Health Care: Medical Facilities,Louisville,KY,6768.0,64200
Insight Enterprises,"$6,704 ",$90.70 ,"$2,686 ","6,697",Technology,Information Technology Services,Tempe,AZ,6704.0,6697
Dr Pepper Snapple Group,"$6,690 ","$1,076.00 ","$10,022 ","21,000","Food, Beverages &  Tobacco",Beverages,Plano,TX,6690.0,21000
American Tower,"$6,664 ","$1,238.90 ","$33,214 ","4,752",Financials,Real estate,Boston,MA,6664.0,4752
Fortive,"$6,656 ","$1,044.50 ","$10,501 ","26,000",Industrials,Industrial Machinery,Everett,WA,6656.0,26000
Ralph Lauren,"$6,653 ",($99.30),"$5,652 ","18,250",Apparel,Apparel,New York,NY,6653.0,18250
HRG Group,"$6,650 ",$106.00 ,"$35,850 ","17,113",Household Products,Household and Personal Products,New York,NY,6650.0,17113
Ascena Retail Group,"$6,650 ","($1,067.30)","$3,872 ","40,000",Retailing,Specialty Retailers: Apparel,Mahwah,NJ,6650.0,40000
United Rentals,"$6,641 ","$1,346.00 ","$15,030 ","14,800",Business Services,Miscellaneous,Stamford,CT,6641.0,14800
Caseys General Stores,"$6,641 ",$177.50 ,"$3,020 ","25,463",Retailing,Specialty Retailers: Other,Ankeny,IA,6641.0,25463
Graybar Electric,"$6,631 ",$71.60 ,"$2,261 ","8,500",Wholesalers,Wholesalers: Diversified,St. Louis,MO,6631.0,8500
Avery Dennison,"$6,614 ",$281.80 ,"$5,137 ","30,000",Materials,"Packaging, Containers",Glendale,CA,6614.0,30000
MasTec,"$6,607 ",$347.20 ,"$4,067 ","17,300",Engineering &  Construction,"Engineering, Construction",Coral Gables,FL,6607.0,17300
CMS Energy,"$6,583 ",$460.00 ,"$23,050 ","7,887",Energy,Utilities: Gas and Electric,Jackson,MI,6583.0,7887
HD Supply Holdings,"$6,534 ",$970.00 ,"$4,318 ","11,000",Wholesalers,Wholesalers: Diversified,Atlanta,GA,6534.0,11000
Raymond James Financial,"$6,525 ",$636.20 ,"$34,884 ","12,700",Financials,Securities,St. Petersburg,FL,6525.0,12700
NCR,"$6,516 ",$232.00 ,"$7,654 ","34,000",Technology,"Computers, Office Equipment",Atlanta,GA,6516.0,34000
Hanesbrands,"$6,478 ",$61.90 ,"$6,895 ","67,200",Apparel,Apparel,Winston-Salem,NC,6478.0,67200
Asbury Automotive Group,"$6,457 ",$139.10 ,"$2,357 ","8,000",Retailing,"Automotive Retailing, Services",Duluth,GA,6457.0,8000
Citizens Financial Group,"$6,454 ","$1,652.00 ","$152,336 ","17,594",Financials,Commercial Banks,Providence,RI,6454.0,17594
Packaging Corp. of America,"$6,445 ",$668.60 ,"$6,198 ","14,600",Materials,"Packaging, Containers",Lake Forest,IL,6445.0,14600
Alleghany,"$6,425 ",$90.10 ,"$25,384 ","4,402",Financials,Insurance: Property and Casualty (Stock),New York,NY,6425.0,4402
Apache,"$6,423 ","$1,304.00 ","$21,922 ","3,356",Energy,"Mining, Crude-Oil Production",Houston,TX,6423.0,3356
Dillards,"$6,423 ",$221.30 ,"$3,673 ","31,400",Retailing,General Merchandisers,Little Rock,AR,6423.0,31400
Assurant,"$6,415 ",$519.60 ,"$31,843 ","14,175",Financials,Insurance: Property and Casualty (Stock),New York,NY,6415.0,14175
Franklin Resources,"$6,392 ","$1,696.70 ","$17,534 ","9,386",Financials,Securities,San Mateo,CA,6392.0,9386
Owens Corning,"$6,384 ",$289.00 ,"$8,632 ","17,000",Materials,"Building Materials, Glass",Toledo,OH,6384.0,17000
Motorola Solutions,"$6,380 ",($155.00),"$8,208 ","15,000",Technology,Network and Other Communications Equipment,Chicago,IL,6380.0,15000
NVR,"$6,322 ",$537.50 ,"$2,989 ","5,200",Engineering &  Construction,Homebuilders,Reston,VA,6322.0,5200
Rockwell Automation,"$6,311 ",$825.70 ,"$7,162 ","22,000",Industrials,"Electronics, Electrical Equip.",Milwaukee,WI,6311.0,22000
TreeHouse Foods,"$6,307 ",($286.20),"$5,779 ","13,489","Food, Beverages &  Tobacco",Food Consumer Products,Oak Brook,IL,6307.0,13489
Wynn Resorts,"$6,306 ",$747.20 ,"$12,682 ","25,200","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Las Vegas,NV,6306.0,25200
Olin,"$6,268 ",$549.50 ,"$9,218 ","6,400",Chemicals,Chemicals,Clayton,MO,6268.0,6400
American Axle & Manufacturing,"$6,266 ",$337.10 ,"$7,883 ","25,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Detroit,MI,6266.0,25000
Old Republic International,"$6,263 ",$560.50 ,"$19,404 ","8,700",Financials,Insurance: Property and Casualty (Stock),Chicago,IL,6263.0,8700
Chemours,"$6,183 ",$746.00 ,"$7,293 ","7,000",Chemicals,Chemicals,Wilmington,DE,6183.0,7000
iHeartMedia,"$6,178 ",($704.40),"$12,257 ","18,700",Media,Entertainment,San Antonio,TX,6178.0,18700
Ameren,"$6,177 ",$523.00 ,"$25,945 ","8,615",Energy,Utilities: Gas and Electric,St. Louis,MO,6177.0,8615
Arthur J. Gallagher,"$6,160 ",$463.10 ,"$12,897 ","26,783",Financials,Diversified Financials,Rolling Meadows,IL,6160.0,26783
Celanese,"$6,140 ",$843.00 ,"$9,538 ","7,592",Chemicals,Chemicals,Irving,TX,6140.0,7592
Sealed Air,"$6,131 ",$814.90 ,"$5,280 ","15,000",Materials,"Packaging, Containers",Charlotte,NC,6131.0,15000
UGI,"$6,121 ",$436.60 ,"$11,582 ","13,000",Energy,Energy,King of Prussia,PA,6121.0,13000
Realogy Holdings,"$6,114 ",$431.00 ,"$7,337 ","11,800",Financials,Real estate,Madison,NJ,6114.0,11800
Burlington Stores,"$6,110 ",$384.90 ,"$2,813 ","40,000",Retailing,Specialty Retailers: Apparel,Burlington,NJ,6110.0,40000
Regions Financial,"$6,093 ","$1,263.00 ","$124,294 ","21,714",Financials,Commercial Banks,Birmingham,AL,6093.0,21714
AK Steel Holding,"$6,081 ",$6.20 ,"$4,296 ","9,200",Materials,Metals,Beckett Ridge,OH,6081.0,9200
Securian Financial Group,"$6,067 ",$418.90 ,"$51,232 ","5,000",Financials,"Insurance: Life, Health (stock)",St Paul,MN,6067.0,5000
S& P Global,"$6,063 ","$1,496.00 ","$9,425 ","20,400",Business Services,Financial Data Services,New York,NY,6063.0,20400
Markel,"$6,062 ",$395.30 ,"$32,805 ","15,600",Financials,Insurance: Property and Casualty (Stock),Glen Allen,VA,6062.0,15600
TravelCenters of America,"$6,052 ",$9.30 ,"$1,618 ","19,611",Retailing,Specialty Retailers: Other,Westlake,OH,6052.0,19611
Conduent,"$6,022 ",$181.00 ,"$7,548 ","90,000",Business Services,Diversified Outsourcing Services,Florham Park,NJ,6022.0,90000
M& T Bank Corp.,"$6,019 ","$1,408.30 ","$118,594 ","16,354",Financials,Commercial Banks,Buffalo,NY,6019.0,16354
Clorox,"$5,973 ",$701.00 ,"$4,573 ","8,100",Household Products,Household and Personal Products,Oakland,CA,5973.0,8100
AmTrust Financial Services,"$5,959 ",($348.90),"$25,219 ","9,300",Financials,Insurance: Property and Casualty (Stock),New York,NY,5959.0,9300
KKR,"$5,930 ","$1,018.30 ","$45,835 ","1,184",Financials,Securities,New York,NY,5930.0,1184
Ulta Beauty,"$5,885 ",$555.20 ,"$2,909 ","24,200",Retailing,Specialty Retailers: Other,Bolingbrook,IL,5885.0,24200
Yum Brands,"$5,878 ","$1,340.00 ","$5,311 ","60,000","Hotels, Restaurants &  Leisure",Food Services,Louisville,KY,5878.0,60000
Regeneron Pharmaceuticals,"$5,872 ","$1,198.50 ","$8,764 ","6,200",Health Care,Pharmaceuticals,Tarrytown,NY,5872.0,6200
Windstream Holdings,"$5,853 ","($2,116.60)","$11,084 ","12,979",Telecommunications,Telecommunications,Little Rock,AR,5853.0,12979
Magellan Health,"$5,838 ",$110.20 ,"$2,957 ","10,700",Health Care,Health Care: Insurance and Managed Care,Scottsdale,AZ,5838.0,10700
Western & Southern Financial,"$5,836 ",$310.40 ,"$46,395 ","2,226",Financials,"Insurance: Life, Health (Mutual)",Cincinnati,OH,5836.0,2226
Intercontinental Exchange,"$5,834 ","$2,514.00 ","$78,264 ","4,952",Financials,Securities,Atlanta,GA,5834.0,4952
Ingredion,"$5,832 ",$519.00 ,"$6,080 ","11,000","Food, Beverages &  Tobacco",Food Production,Westchester,IL,5832.0,11000
Wyndham Destinations,"$5,821 ",$871.00 ,"$10,403 ","39,200","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Parsippany-Troy Hills,NJ,5821.0,39200
Toll Brothers,"$5,815 ",$535.50 ,"$9,445 ","4,500",Engineering &  Construction,Homebuilders,Horsham,PA,5815.0,4500
Seaboard,"$5,809 ",$247.00 ,"$5,161 ","11,800","Food, Beverages &  Tobacco",Food Production,Merriam,KS,5809.0,11800
Booz Allen Hamilton,"$5,804 ",$252.50 ,"$3,373 ","23,300",Technology,Information Technology Services,McLean,VA,5804.0,23300
First American Financial,"$5,772 ",$423.00 ,"$9,573 ","18,705",Financials,Insurance: Property and Casualty (Stock),Santa Ana,CA,5772.0,18705
Cincinnati Financial,"$5,732 ","$1,045.00 ","$21,843 ","4,925",Financials,Insurance: Property and Casualty (Stock),Fairfield,OH,5732.0,4925
Avon Products,"$5,716 ",$22.00 ,"$3,698 ","25,000",Household Products,Household and Personal Products,Rye,NY,5716.0,25000
Northern Trust,"$5,716 ","$1,199.00 ","$138,591 ","18,100",Financials,Commercial Banks,Chicago,IL,5716.0,18100
Fiserv,"$5,696 ","$1,246.00 ","$10,289 ","24,000",Business Services,Financial Data Services,Brookfield,WI,5696.0,24000
Harley-Davidson,"$5,647 ",$521.80 ,"$9,973 ","5,800",Transportation,Transportation Equipment,Milwaukee,WI,5647.0,5800
Cheniere Energy,"$5,601 ",($393.00),"$27,906 ","1,230",Energy,Energy,Houston,TX,5601.0,1230
Patterson,"$5,593 ",$170.90 ,"$3,508 ","7,500",Wholesalers,Wholesalers: Health Care,St Paul,MN,5593.0,7500
Peabody Energy,"$5,579 ",-,"$8,181 ","7,100",Energy,"Mining, Crude-Oil Production",St. Louis,MO,5579.0,7100
ON Semiconductor,"$5,543 ",$810.70 ,"$7,195 ","34,000",Technology,Semiconductors and Other Electronic Components,Phoenix,AZ,5543.0,34000
Simon Property Group,"$5,539 ","$1,948.00 ","$32,258 ","4,150",Financials,Real estate,Indianapolis,IN,5539.0,4150
Western Union,"$5,524 ",($557.10),"$9,231 ","11,500",Business Services,Financial Data Services,Englewood,CO,5524.0,11500
NetApp,"$5,519 ",$509.00 ,"$9,493 ","10,100",Technology,"Computers, Office Equipment",Sunnyvale,CA,5519.0,10100
Polaris Industries,"$5,505 ",$172.50 ,"$3,090 ","11,000",Transportation,Transportation Equipment,Medina,MN,5505.0,11000
Pioneer Natural Resources,"$5,455 ",$833.00 ,"$17,003 ","3,836",Energy,"Mining, Crude-Oil Production",Irving,TX,5455.0,3836
ABM Industries,"$5,454 ",$3.80 ,"$3,813 ","140,000",Business Services,Diversified Outsourcing Services,New York,NY,5454.0,140000
Vistra Energy,"$5,430 ",($254.00),"$14,600 ","4,150",Energy,Energy,Irving,TX,5430.0,4150
Cintas,"$5,429 ",$480.70 ,"$6,844 ","42,000",Business Services,Diversified Outsourcing Services,Cincinnati,OH,5429.0,42000
Hess,"$5,405 ","($4,074.00)","$23,112 ","2,075",Energy,"Mining, Crude-Oil Production",New York,NY,5405.0,2075
Host Hotels & Resorts,"$5,387 ",$564.00 ,"$11,693 ",205,Financials,Real estate,Bethesda,MD,5387.0,205
Kelly Services,"$5,374 ",$71.60 ,"$2,378 ","7,800",Business Services,Temporary Help,Troy,MI,5374.0,7800
Genesis Healthcare,"$5,374 ",($579.00),"$4,788 ","68,700",Health Care,Health Care: Medical Facilities,Kennett Square,PA,5374.0,68700
Michaels Cos.,"$5,362 ",$390.50 ,"$2,300 ","30,500",Retailing,Specialty Retailers: Other,Irving,TX,5362.0,30500
Advanced Micro Devices,"$5,329 ",$43.00 ,"$3,540 ","8,900",Technology,Semiconductors and Other Electronic Components,Santa Clara,CA,5329.0,8900
Zoetis,"$5,307 ",$864.00 ,"$8,586 ","9,200",Health Care,Pharmaceuticals,Parsippany-Troy Hills,NJ,5307.0,9200
Williams-Sonoma,"$5,292 ",$259.50 ,"$2,786 ","19,350",Retailing,Specialty Retailers: Other,SF,CA,5292.0,19350
Fortune Brands Home & Security,"$5,283 ",$472.60 ,"$5,511 ","23,870",Household Products,"Home Equipment, Furnishings",Deerfield,IL,5283.0,23870
Big Lots,"$5,271 ",$189.80 ,"$1,652 ","22,900",Retailing,Specialty Retailers: Other,Columbus,OH,5271.0,22900
Robert Half International,"$5,267 ",$290.60 ,"$1,868 ","17,200",Business Services,Temporary Help,Menlo Park,CA,5267.0,17200
Post Holdings,"$5,226 ",$48.30 ,"$11,877 ","11,410","Food, Beverages &  Tobacco",Food Consumer Products,St. Louis,MO,5226.0,11410
Hasbro,"$5,210 ",$396.60 ,"$5,290 ","5,400",Household Products,"Toys, Sporting Goods",Pawtucket,RI,5210.0,5400
Hanover Insurance Group,"$5,184 ",$186.20 ,"$15,470 ","4,600",Financials,Insurance: Property and Casualty (Stock),Worcester,MA,5184.0,4600
Navient,"$5,179 ",$292.00 ,"$114,991 ","6,700",Financials,Diversified Financials,Wilmington,DE,5179.0,6700
Intuit,"$5,177 ",$971.00 ,"$4,068 ","8,200",Technology,Computer Software,Mountain View,CA,5177.0,8200
Domtar,"$5,157 ",($258.00),"$5,212 ","10,000",Materials,Forest and Paper Products,Fort Mill,SC,5157.0,10000
Marathon Oil,"$5,153 ","($5,723.00)","$22,012 ","2,300",Energy,"Mining, Crude-Oil Production",Houston,TX,5153.0,2300
Cerner,"$5,142 ",$867.00 ,"$6,469 ","26,000",Health Care,Health Care: Pharmacy and Other Services,North Kansas City,MO,5142.0,26000
Analog Devices,"$5,108 ",$727.30 ,"$21,141 ","15,300",Technology,Semiconductors and Other Electronic Components,Norwood,MA,5108.0,15300
Telephone & Data Systems,"$5,044 ",$153.00 ,"$9,295 ","9,900",Telecommunications,Telecommunications,Chicago,IL,5044.0,9900
Essendant,"$5,037 ",($267.00),"$1,774 ","6,400",Wholesalers,Wholesalers: Electronics and Office Equipment,Deerfield,IL,5037.0,6400
Sonoco Products,"$5,037 ",$175.30 ,"$4,558 ","21,000",Materials,"Packaging, Containers",Hartsville,SC,5037.0,21000
Juniper Networks,"$5,027 ",$306.20 ,"$9,834 ","9,381",Technology,Network and Other Communications Equipment,Sunnyvale,CA,5027.0,9381
Commercial Metals,"$4,999 ",$46.30 ,"$2,975 ","8,797",Materials,Metals,Irving,TX,4999.0,8797
CSRA,"$4,993 ",$304.00 ,"$4,888 ","18,500",Technology,Information Technology Services,Falls Church,VA,4993.0,18500
Under Armour,"$4,977 ",($48.30),"$4,006 ","11,350",Apparel,Apparel,Baltimore,MD,4977.0,11350
RPM International,"$4,958 ",$181.80 ,"$5,090 ","14,318",Chemicals,Chemicals,Medina,OH,4958.0,14318
Total System Services,"$4,928 ",$586.20 ,"$6,332 ","11,800",Business Services,Financial Data Services,Columbus,GA,4928.0,11800
Levi Strauss,"$4,904 ",$281.40 ,"$3,355 ","13,800",Apparel,Apparel,SF,CA,4904.0,13800
Brunswick,"$4,898 ",$146.40 ,"$3,358 ","15,116",Transportation,Transportation Equipment,Libertyville,IL,4898.0,15116
YRC Worldwide,"$4,891 ",($10.80),"$1,586 ","32,000",Transportation,"Trucking, Truck Leasing",Overland Park,KS,4891.0,32000
Mattel,"$4,882 ","($1,053.80)","$6,239 ","28,000",Household Products,"Toys, Sporting Goods",El Segundo,CA,4882.0,28000
FM Global,"$4,875 ",$254.10 ,"$23,247 ","5,441",Financials,Insurance: Property and Casualty (Stock),Johnston,RI,4875.0,5441
NiSource,"$4,875 ",$128.50 ,"$19,962 ","8,175",Energy,Utilities: Gas and Electric,Merrillville,IN,4875.0,8175
Caesars Entertainment,"$4,852 ",($375.00),"$25,512 ","65,000","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Las Vegas,NV,4852.0,65000
Electronic Arts,"$4,845 ",$967.00 ,"$7,718 ","8,800",Technology,Entertainment,Redwood City,CA,4845.0,8800
Dynegy,"$4,842 ",$76.00 ,"$11,771 ","2,489",Energy,Energy,Houston,TX,4842.0,2489
McCormick,"$4,834 ",$477.40 ,"$10,386 ","11,700","Food, Beverages &  Tobacco",Food Consumer Products,Sparks Glencoe,MD,4834.0,11700
T. Rowe Price,"$4,793 ","$1,497.80 ","$7,535 ","6,881",Financials,Securities,Baltimore,MD,4793.0,6881
Orbital ATK,"$4,764 ",$310.00 ,"$5,666 ","13,900",Aerospace &  Defense,Aerospace and Defense,Sterling,VA,4764.0,13900
Tutor Perini,"$4,757 ",$148.40 ,"$4,264 ","10,061",Engineering &  Construction,"Engineering, Construction",Los Angeles,CA,4757.0,10061
Brookdale Senior Living,"$4,747 ",($571.40),"$7,675 ","62,550",Health Care,Health Care: Medical Facilities,Brentwood,TN,4747.0,62550
Huntington Bancshares,"$4,740 ","$1,186.00 ","$104,185 ","15,770",Financials,Commercial Banks,Columbus,OH,4740.0,15770
Wayfair,"$4,721 ",($244.60),"$1,213 ","7,751",Technology,Internet Services and Retailing,Boston,MA,4721.0,7751
Rush Enterprises,"$4,714 ",$172.10 ,"$2,890 ","6,825",Retailing,"Automotive Retailing, Services",New Braunfels,TX,4714.0,6825
Xylem,"$4,707 ",$331.00 ,"$6,860 ","16,200",Industrials,Industrial Machinery,Rye Brook,NY,4707.0,16200
Neiman Marcus Group,"$4,706 ",($531.80),"$7,704 ","13,700",Retailing,Specialty Retailers: Apparel,Dallas,TX,4706.0,13700
Hyatt Hotels,"$4,685 ",$249.00 ,"$7,672 ","45,000","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Chicago,IL,4685.0,45000
Sprouts Farmers Market,"$4,665 ",$158.40 ,"$1,582 ","27,000",Food &  Drug Stores,Food and Drug Stores,Phoenix,AZ,4665.0,27000
Diebold Nixdorf,"$4,609 ",($233.10),"$5,250 ","23,000",Technology,"Computers, Office Equipment",North Canton,OH,4609.0,23000
Roper Technologies,"$4,608 ",$971.80 ,"$14,316 ","14,236",Technology,"Scientific,Photographic and  Control Equipment",Sarasota,FL,4608.0,14236
Smart & Final Stores,"$4,571 ",($138.90),"$1,810 ","7,570",Food &  Drug Stores,Food and Drug Stores,Commerce,CA,4571.0,7570
CommScope Holding,"$4,561 ",$193.80 ,"$7,042 ","20,000",Technology,Network and Other Communications Equipment,Newton,NC,4561.0,20000
Tapestry,"$4,488.30 ",$591.00 ,"$5,831.60 ",12450,Apparel,Apparel,New York City,NY,4488.3,12450
Diplomat Pharmacy,"$4,485 ",$15.50 ,"$1,940 ","2,298",Health Care,Health Care: Pharmacy and Other Services,Flint,MI,4485.0,2298
Chipotle Mexican Grill,"$4,476 ",$176.30 ,"$2,046 ","68,890","Hotels, Restaurants &  Leisure",Food Services,Denver,CO,4476.0,68890
Agilent Technologies,"$4,472 ",$684.00 ,"$8,426 ","13,500",Technology,"Scientific,Photographic and  Control Equipment",Santa Clara,CA,4472.0,13500
Science Applications International,"$4,454 ",$179.00 ,"$2,073 ","15,391",Technology,Information Technology Services,Reston,VA,4454.0,15391
MDU Resources Group,"$4,444 ",$281.20 ,"$6,335 ","10,140",Energy,Energy,Bismarck,ND,4444.0,10140
Select Medical Holdings,"$4,444 ",$177.20 ,"$5,127 ","36,050",Health Care,Health Care: Medical Facilities,Mechanicsburg,PA,4444.0,36050
Boise Cascade,"$4,432 ",$83.00 ,"$1,607 ","6,370",Wholesalers,Wholesalers: Diversified,Boise,ID,4432.0,6370
National General Holdings,"$4,431 ",$105.80 ,"$8,440 ","7,570",Financials,Insurance: Property and Casualty (Stock),New York,NY,4431.0,7570
