Name,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector_x,Industry,City,State,Symbol,Sector_y,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
Ross Stores,"$14,135 ","$1,362.80 ","$5,722 ","82,700",Retailing,Specialty Retailers: Apparel,Dublin,CA,ROST,Consumer Discretionary,75.06,26.52,0.82061803,2.83,85.66,52.85,29803566306,2247009000.0,2.9734495,10.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROST
Marsh & McLennan,"$14,024 ","$1,492.00 ","$20,429 ","64,000",Financials,Diversified Financials,New York,NY,MMC,Financials,79.31,20.23,1.8257058999999998,2.87,86.54,69.33,41819440000,3236000000.0,2.9848945,5.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMC
Kinder Morgan,"$13,705 ",$183.00 ,"$79,055 ","10,897",Energy,Pipelines,Houston,TX,KMI,Energy,16.8,25.07,2.891845,0.01,22.75,16.56,38612712234,5981000000.0,2.8239360000000002,1.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMI
Occidental Petroleum,"$13,274 ","$1,311.00 ","$42,026 ","11,000",Energy,"Mining, Crude-Oil Production",Houston,TX,OXY,Energy,68.47,195.63,4.4081864,-0.75,78.09,57.2,53467692395,5205000000.0,6.0448949999999995,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OXY
Stanley Black & Decker,"$12,747 ","$1,226.00 ","$19,080 ","57,765",Household Products,"Home Equipment, Furnishings",New Britain,CT,SWK,Consumer Discretionary,152.86,20.57,1.5775635000000001,8.05,176.62,121.09,24496399600,2264600000.0,1.944325,3.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWK
Dominion Energy,"$12,586 ","$2,999.00 ","$76,585 ",16200,Energy,Utilities: Gas and Electric,Richmond,VA,D,Utilities,73.31,20.42,4.5281997,4.91,85.3,71.59,47543571860,6428000000.0,3.7954214,2.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=D
BlackRock,"$12,491 ","$4,970.00 ","$220,217 ","13,900",Financials,Securities,New York,NY,BLK,Financials,509.38,22.49,2.1643557999999996,30.3,594.52,368.0,85907759858,5684000000.0,6.9158196,2.95,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLK
Henry Schein,"$12,462 ",$406.30 ,"$7,811 ","22,000",Wholesalers,Wholesalers: Health Care,Melville,NY,HSIC,Health Care,70.85,19.85,0.0,3.1,93.495,65.28,11452961984,1033985000.0,1.262194,3.74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HSIC
Becton Dickinson,"$12,093 ","$1,100.00 ","$37,734 ","41,933",Health Care,Medical Products and Equipment,Franklin Lakes,NJ,BDX,Health Care,211.44,22.28,1.3518385,4.65,248.3888,175.66,50910180308,1537000000.0,5.6912947,3.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BDX
Ameriprise Financial,"$12,075 ","$1,480.00 ","$147,470 ","13,312",Financials,Diversified Financials,Minneapolis,MN,AMP,Financials,152.5,12.41,2.0735743,9.44,183.9,118.84,23472126000,0.0,1.9493247,3.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMP
Consolidated Edison,"$12,033 ","$1,525.00 ","$48,111 ","15,591",Energy,Utilities: Gas and Electric,New York,NY,ED,Utilities,74.73,18.64,3.8001595,4.1,89.7,72.63,23335777662,4288000000.0,2.960244,1.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ED
Parker-Hannifin,"$12,029 ",$983.40 ,"$15,490 ","56,690",Industrials,Industrial Machinery,Cleveland,OH,PH,Industrials,174.51,21.6,1.4401833,7.24,212.8,145.38,24421668509,2092089000.0,1.8652664,4.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PH
State Street Corp.,"$11,774 ","$2,177.00 ","$238,425 ","36,643",Financials,Commercial Banks,Boston,MA,STT,Financials,98.54,15.35,1.6228749,5.23,114.27,75.27,38059113300,0.0,3.263072,1.95,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STT
Discover Financial Services,"$11,545 ","$2,099.00 ","$100,087 ","16,500",Financials,Commercial Banks,Riverwoods,IL,DFS,Financials,72.4,12.13,1.8269607,5.41,81.93,57.5,27433540000,0.0,2.3610325,2.52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DFS
Unum Group,"$11,287 ",$994.20 ,"$64,013 ","9,400",Financials,"Insurance: Life, Health (stock)",Chattanooga,TN,UNM,Financials,47.87,11.51,1.8189006999999997,4.38,58.73,43.55,11256432318,0.0,0.9984924000000001,1.19,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNM
NRG Energy,"$11,275 ","($2,153.00)","$23,318 ","5,940",Energy,Energy,Princeton,NJ,NRG,Utilities,24.0,17.78,1.4195583999999999,-2.23,29.78,14.52,8030036023,1774000000.0,0.9933021000000001,6.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NRG
EOG Resources,"$11,208 ","$2,582.60 ","$29,833 ","2,664",Energy,"Mining, Crude-Oil Production",Houston,TX,EOG,Energy,101.04,246.44,0.63339007,-1.98,119.0,81.99,61164030149,3692749000.0,8.023019999999999,4.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EOG
Sempra Energy,"$11,207 ",$256.00 ,"$50,454 ","16,046",Energy,Utilities: Gas and Electric,San Diego,CA,SRE,Utilities,103.36,19.14,3.1607263,5.45,122.975,100.63,26163862235,3763000000.0,3.1530299999999998,1.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRE
MGM Resorts International,"$10,774 ","$1,960.30 ","$29,159 ","68,500","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Las Vegas,NV,MGM,Consumer Discretionary,33.5,29.65,1.2687428,1.92,38.41,25.15,19633674337,2680385000.0,2.2276719,3.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MGM
Jacobs Engineering Group,"$10,023 ",$293.70 ,"$7,381 ","49,750",Engineering &  Construction,"Engineering, Construction",Dallas,TX,JEC,Industrials,62.82,19.45,0.9089531999999999,2.43,72.18,49.31,9326484316,409832000.0,1.2129636000000001,2.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JEC
BorgWarner,"$9,799 ",$439.90 ,"$9,788 ","29,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Auburn Hills,MI,BWA,Consumer Discretionary,51.94,14.15,1.2363636,0.55,58.22,37.54,11596117445,867900000.0,1.5831376,2.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BWA
